Analysis,Cohorts,Method,Mean C-index,Exact cohort-bootstrap low,Exact cohort-bootstrap high
five-cohort primary summary,5,MKG,0.5816674675807953,0.5312831925999678,0.6325293979442586
five-cohort primary summary,5,MKG equal-weight,0.5816739783171168,0.531744854534981,0.6324687078680087
five-cohort primary summary,5,Single-graph backend,0.5753929996212063,0.5316594465068233,0.6268330506020305
five-cohort primary summary,5,Uni-Cox,0.5748348378728323,0.5287466233794287,0.6276381004856045
five-cohort primary summary,5,RSF,0.49561271889032865,0.47144309332278034,0.5181645230175422
five-cohort primary summary,5,DeepSurv,0.5253650664191457,0.5034050754898811,0.5551776839041128
five-cohort primary summary,5,CV-Cox-Lasso,0.534144623355852,0.49772150347458916,0.5765543504547759
five-cohort primary summary,5,CV-Cox-EN,0.5458091034098669,0.5074614820065693,0.5885598842224424
six-cohort KIRC-inclusive sensitivity,6,MKG,0.5317774873518123,0.42495637849625184,0.6165530571712149
six-cohort KIRC-inclusive sensitivity,6,MKG equal-weight,0.5325013037700111,0.42734093768742026,0.6164444854133092
six-cohort KIRC-inclusive sensitivity,6,Single-graph backend,0.5265487640521547,0.4207790574020991,0.6085193193033565
six-cohort KIRC-inclusive sensitivity,6,Uni-Cox,0.5411698361583946,0.4633637314439787,0.6095923126393522
six-cohort KIRC-inclusive sensitivity,6,RSF,0.47551059907527393,0.431909880168387,0.5105454531941827
six-cohort KIRC-inclusive sensitivity,6,DeepSurv,0.5186231875331961,0.49748563218390807,0.5463045983455697
six-cohort KIRC-inclusive sensitivity,6,CV-Cox-Lasso,0.5169595999229801,0.47309797938042597,0.5604894722382404
six-cohort KIRC-inclusive sensitivity,6,CV-Cox-EN,0.5306311493932798,0.4881726318801973,0.5738583430732717
